"Case Name"," Status"," UserId"," UserRole"," Time"," Notes"
"User Login"," Passed","xz985"," Admin"," 10/21 04:48:34"," "
"GIGPAD Help"," Passed","xz985"," Admin"," 10/21 04:48:37"," "
"GIGPAD Page Title"," Passed","xz985"," Admin"," 10/21 04:48:39"," "
"User Login"," Passed","xz985"," Admin"," 10/21 04:49:12"," "
"User Login"," Passed","xz985"," Admin"," 10/21 04:49:12"," "
"City Verification"," Passed","432fhAx847"," INVESTIGATOR"," 10/21 04:49:17"," City cannot be numeric values."
"State Verification"," Passed","432fhAx847"," INVESTIGATOR"," 10/21 04:49:20"," State cannot be numeric values."
"ZipCode Verification"," Passed","432fhAx847"," INVESTIGATOR"," 10/21 04:49:23"," ZipCode cannot be alphabeyocal values."
"Phone Number Verification"," Passed","432fhAx847"," INVESTIGATOR"," 10/21 04:49:25"," Phone Number cannot be alphabetic values."
"Duplicate User Creation"," Passed","xz985"," Admin"," 10/21 04:49:27"," "
"User Creation"," Passed","432fhAx847"," INVESTIGATOR"," 10/21 04:49:29"," "
"User Login"," Passed","rsrch_daemon"," Domain"," 10/21 04:50:07"," "
"Account Setup"," Failed","xz985"," Admin"," 10/21 04:50:32"," User not found."
"Account Setup"," Passed","xz985"," Admin"," 10/21 04:50:34"," "
"User Login"," Passed","xz985"," Admin"," 10/21 04:51:09"," "
"Start Enrollment Verification"," Passed","432fhAx847"," INVESTIGATOR"," 10/21 04:51:31"," 2016/2 is not a valid format"
"Start Enrollment Verification"," Passed","432fhAx847"," INVESTIGATOR"," 10/21 04:51:33"," No date is not a valid format"
"Start Enrollment Verification"," Passed","432fhAx847"," INVESTIGATOR"," 10/21 04:51:34"," 8.2015 is not a valid format"
"Participants Verification"," Passed","432fhAx847"," INVESTIGATOR"," 10/21 04:51:35"," Alphabetic value for number of participants should not be accepted"
"Participants Verification"," Passed","432fhAx847"," INVESTIGATOR"," 10/21 04:51:37"," Number of participants must be postive"
"Create New Study"," Passed","xz985"," Admin"," 10/21 04:51:42"," "
"User Login"," Passed","rsrch_daemon"," Domain"," 10/21 04:52:12"," "
"Approve Study"," Failed","rsrch_daemon"," Domain"," 10/21 04:52:33"," Actual study name(SLAA161019_0) and expected study nameSLAA161021_0 do not match"
"Approve Study"," Failed","rsrch_daemon"," Domain"," 10/21 04:52:53"," Study was already approved"
"User Login"," Passed","xz985"," Admin"," 10/21 04:53:28"," "
"Select Service"," Passed","432fhAx847"," INVESTIGATOR"," 10/21 04:56:30"," Service Type: 1"
